Line,Rep,Score,Parental Temp,Experimental Temp
239,3,110,25,25
239,4,139,25,25
239,5,126,25,25
239,6,132,25,25
239,7,138,25,25
239,8,139,25,25
239,9,118,25,25
239,10,139,25,25
256,1,116,25,25
256,2,112,25,25
256,3,83,25,25
256,4,108,25,25
256,5,67,25,25
256,6,99,25,25
256,7,57,25,25
256,8,113,25,25
256,9,114,25,25
256,10,90,25,25
280,1,97,25,25
280,2,125,25,25
280,3,145,25,25
280,4,117,25,25
280,5,96,25,25
280,6,62,25,25
280,7,120,25,25
280,8,24,25,25
280,9,141,25,25
280,10,153,25,25
287,1,147,25,25
287,2,125,25,25
287,3,127,25,25
287,4,168,25,25
287,5,134,25,25
287,6,95,25,25
287,7,149,25,25
287,8,158,25,25
287,9,134,25,25
287,10,166,25,25
301,1,140,25,25
301,2,152,25,25
301,3,108,25,25
301,4,125,25,25
301,5,94,25,25
301,6,74,25,25
301,7,115,25,25
301,8,133,25,25
301,9,89,25,25
301,10,99,25,25
303,1,66,25,25
303,2,69,25,25
303,3,109,25,25
303,4,130,25,25
303,5,98,25,25
303,6,42,25,25
303,7,78,25,25
303,8,81,25,25
303,9,126,25,25
303,10,168,25,25
304,1,108,25,25
304,2,146,25,25
304,3,131,25,25
304,4,98,25,25
304,5,75,25,25
304,6,94,25,25
304,7,145,25,25
304,8,54,25,25
304,9,36,25,25
304,10,154,25,25
306,1,118,25,25
306,2,85,25,25
306,3,101,25,25
306,4,121,25,25
306,5,127,25,25
306,6,130,25,25
306,7,100,25,25
306,8,91,25,25
306,9,109,25,25
306,10,85,25,25
307,1,128,25,25
307,2,172,25,25
307,3,125,25,25
307,4,106,25,25
307,5,121,25,25
307,6,134,25,25
307,7,132,25,25
307,8,122,25,25
307,9,41,25,25
307,10,13,25,25
309,1,147,25,25
309,2,154,25,25
309,3,153,25,25
309,4,234,25,25
309,5,242,25,25
309,6,146,25,25
309,7,140,25,25
309,8,186,25,25
309,9,151,25,25
309,10,175,25,25
310,1,71,25,25
310,2,79,25,25
310,3,68,25,25
310,4,63,25,25
310,5,86,25,25
310,6,70,25,25
310,7,94,25,25
310,8,97,25,25
310,9,70,25,25
310,10,99,25,25
313,1,87,25,25
313,2,44,25,25
313,3,53,25,25
313,4,65,25,25
313,5,105,25,25
313,6,30,25,25
313,7,110,25,25
313,8,54,25,25
313,9,97,25,25
313,10,88,25,25
315,1,71,25,25
315,2,64,25,25
315,3,52,25,25
315,4,76,25,25
315,5,48,25,25
315,6,98,25,25
315,7,33,25,25
315,8,22,25,25
315,9,102,25,25
315,10,42,25,25
317,1,81,25,25
317,2,138,25,25
317,3,161,25,25
317,4,130,25,25
317,5,149,25,25
317,6,85,25,25
317,7,74,25,25
317,8,114,25,25
317,9,138,25,25
317,10,120,25,25
318,1,83,25,25
318,2,141,25,25
318,3,110,25,25
318,4,62,25,25
318,5,94,25,25
318,6,101,25,25
318,7,78,25,25
318,8,131,25,25
318,9,86,25,25
318,10,103,25,25
319,1,143,25,25
319,2,144,25,25
319,3,110,25,25
319,4,121,25,25
319,5,140,25,25
319,6,105,25,25
319,7,136,25,25
319,8,133,25,25
319,9,145,25,25
319,10,137,25,25
320,1,123,25,25
320,2,146,25,25
320,3,148,25,25
320,4,81,25,25
320,5,84,25,25
320,6,101,25,25
320,7,179,25,25
320,8,134,25,25
320,9,92,25,25
320,10,166,25,25
321,1,15,25,25
321,2,80,25,25
321,3,19,25,25
321,4,9,25,25
321,5,48,25,25
321,6,147,25,25
321,7,164,25,25
321,8,143,25,25
321,9,123,25,25
321,10,153,25,25
324,1,158,25,25
324,2,135,25,25
324,3,189,25,25
324,4,145,25,25
324,5,206,25,25
324,6,111,25,25
324,7,142,25,25
324,8,148,25,25
324,9,131,25,25
324,10,204,25,25
325,1,85,25,25
325,2,61,25,25
325,3,56,25,25
325,4,62,25,25
325,5,74,25,25
325,6,77,25,25
325,7,30,25,25
325,8,93,25,25
325,9,35,25,25
325,10,93,25,25
332,1,27,25,25
332,2,72,25,25
332,3,31,25,25
332,4,114,25,25
332,5,91,25,25
332,6,60,25,25
332,7,118,25,25
332,8,69,25,25
332,9,197,25,25
332,10,97,25,25
335,1,86,25,25
335,2,136,25,25
335,3,92,25,25
335,4,146,25,25
335,5,144,25,25
335,6,142,25,25
335,7,121,25,25
335,8,56,25,25
335,9,138,25,25
335,10,142,25,25
336,1,146,25,25
336,2,107,25,25
336,3,166,25,25
336,4,133,25,25
336,5,118,25,25
336,6,111,25,25
336,7,150,25,25
336,8,112,25,25
336,9,137,25,25
336,10,115,25,25
338,1,129,25,25
338,2,107,25,25
338,3,89,25,25
338,4,82,25,25
338,5,97,25,25
338,6,77,25,25
338,7,125,25,25
338,8,110,25,25
338,9,70,25,25
338,10,67,25,25
340,1,144,25,25
340,2,171,25,25
340,3,109,25,25
340,4,146,25,25
340,5,109,25,25
340,6,144,25,25
340,7,46,25,25
340,8,150,25,25
340,9,172,25,25
340,10,131,25,25
348,1,181,25,25
348,2,176,25,25
348,3,173,25,25
348,4,183,25,25
348,5,174,25,25
348,6,179,25,25
348,7,193,25,25
348,8,192,25,25
348,9,196,25,25
348,10,225,25,25
350,1,105,25,25
350,2,75,25,25
350,3,65,25,25
350,4,172,25,25
350,5,152,25,25
350,6,116,25,25
350,7,112,25,25
350,8,99,25,25
350,9,124,25,25
350,10,116,25,25
352,1,165,25,25
352,2,158,25,25
352,3,128,25,25
352,4,135,25,25
352,5,133,25,25
352,6,187,25,25
352,7,120,25,25
352,8,106,25,25
352,9,136,25,25
352,10,189,25,25
354,1,57,25,25
354,2,118,25,25
354,3,78,25,25
354,4,89,25,25
354,5,98,25,25
354,6,95,25,25
354,7,109,25,25
354,8,119,25,25
354,9,91,25,25
354,10,62,25,25
355,1,73,25,25
355,2,43,25,25
355,3,69,25,25
355,4,82,25,25
355,5,56,25,25
355,6,61,25,25
355,7,89,25,25
355,8,73,25,25
355,9,27,25,25
355,10,46,25,25
356,1,22,25,25
356,2,35,25,25
356,3,37,25,25
356,4,51,25,25
356,5,59,25,25
356,6,122,25,25
356,7,76,25,25
356,8,86,25,25
356,9,55,25,25
356,10,35,25,25
357,1,96,25,25
357,2,119,25,25
357,3,137,25,25
357,4,106,25,25
357,5,120,25,25
357,6,120,25,25
357,7,149,25,25
357,8,119,25,25
357,9,120,25,25
357,10,141,25,25
358,1,156,25,25
358,2,82,25,25
358,3,101,25,25
358,4,86,25,25
358,5,66,25,25
358,6,114,25,25
358,7,107,25,25
358,8,118,25,25
358,9,111,25,25
358,10,104,25,25
359,1,138,25,25
359,2,102,25,25
359,3,140,25,25
359,4,75,25,25
359,5,101,25,25
359,6,101,25,25
359,7,40,25,25
359,8,165,25,25
359,9,124,25,25
359,10,156,25,25
360,1,156,25,25
360,2,102,25,25
360,3,114,25,25
360,4,154,25,25
360,5,121,25,25
360,6,159,25,25
360,7,107,25,25
360,8,124,25,25
360,9,132,25,25
360,10,110,25,25
361,1,108,25,25
361,2,87,25,25
361,3,114,25,25
361,4,87,25,25
361,5,79,25,25
361,6,83,25,25
361,7,113,25,25
361,8,108,25,25
361,9,101,25,25
361,10,98,25,25
362,1,166,25,25
362,2,174,25,25
362,3,153,25,25
362,4,187,25,25
362,5,154,25,25
362,6,164,25,25
362,7,125,25,25
362,8,161,25,25
362,9,124,25,25
362,10,145,25,25
365,1,95,25,25
365,2,60,25,25
365,3,70,25,25
365,4,136,25,25
365,5,133,25,25
365,6,123,25,25
365,7,112,25,25
365,8,129,25,25
365,9,110,25,25
365,10,126,25,25
367,1,65,25,25
367,2,88,25,25
367,3,102,25,25
367,4,87,25,25
367,5,33,25,25
367,6,56,25,25
367,7,90,25,25
367,8,73,25,25
