tag,cross,female.parent,male.parent,n.female,n.male,n.total,rep
292,26x639,26,639,36,52,88,Blue
293,26x399,26,399,60,45,105,Blue
294,26x379,26,379,31,39,70,Blue
295,26x380,26,380,40,48,88,Blue
296,26x398,26,398,43,50,93,Blue
297,26x21,26,21,75,63,138,Blue
298,26x235,26,235,64,67,131,Blue
299,26x461,26,461,56,55,111,Blue
300,26x790,26,790,51,48,99,Blue
301,28x45,28,45,45,46,91,White
302,28x228,28,228,43,55,98,White
303,28x26,28,26,65,67,132,White
304,28x810,28,810,30,28,58,White
305,28x217,28,217,28,22,50,White
306,28x256,28,256,43,48,91,White
307,28x233,28,233,7,4,11,White
308,28x28,28,28,30,31,61,White
309,28x280,28,280,41,27,68,White
310,28x513,28,513,39,37,76,White
311,28x91,28,91,31,29,60,White
312,28x239,28,239,37,28,65,White
313,28x370,28,370,51,41,92,White
314,28x195,28,195,34,40,74,White
315,28x57,28,57,40,44,84,White
316,28x138,28,138,47,37,84,White
317,28x208,28,208,41,40,81,White
318,28x161,28,161,28,34,62,White
319,28x386,28,386,54,63,117,White
320,28x176,28,176,25,30,55,White
321,28x40,28,40,30,17,47,White
322,28x365,28,365,36,48,84,White
323,28x555,28,555,58,44,102,White
324,28x712,28,712,32,29,61,White
325,28x805,28,805,37,35,72,White
326,28x41,28,41,47,53,100,White
327,28x517,28,517,24,26,50,White
328,28x227,28,227,43,41,84,White
329,28x705,28,705,30,43,73,White
330,28x158,28,158,41,45,86,White
331,28x908,28,908,50,51,101,White
332,28x890,28,890,20,22,42,White
333,28x129,28,129,31,12,43,White
334,28x820,28,820,39,39,78,White
335,28x595,28,595,37,37,74,White
336,28x318,28,318,26,32,58,White
337,28x313,28,313,47,50,97,White
338,28x358,28,358,46,43,89,White
339,28x882,28,882,43,44,87,White
340,28x375,28,375,34,50,84,White
341,28x367,28,367,57,43,100,White
342,28x639,28,639,57,49,106,White
343,28x399,28,399,39,38,77,White
344,28x379,28,379,43,31,74,White
345,28x380,28,380,17,20,37,White
346,28x398,28,398,37,36,73,White
347,28x21,28,21,22,18,40,White
348,28x235,28,235,28,35,63,White
349,28x461,28,461,47,38,85,White
350,28x790,28,790,24,33,57,White
351,28x45,28,45,53,62,115,Red
352,28x228,28,228,34,37,71,Red
353,28x26,28,26,46,39,85,Red
354,28x810,28,810,29,40,69,Red
355,28x217,28,217,56,45,101,Red
356,28x256,28,256,43,48,91,Red
357,28x233,28,233,31,29,60,Red
358,28x28,28,28,15,20,35,Red
359,28x280,28,280,34,28,62,Red
360,28x513,28,513,66,46,112,Red
361,28x91,28,91,41,49,90,Red
362,28x239,28,239,35,46,81,Red
363,28x370,28,370,16,30,46,Red
364,28x195,28,195,26,21,47,Red
365,28x57,28,57,44,49,93,Red
366,28x138,28,138,33,44,77,Red
367,28x208,28,208,25,26,51,Red
368,28x161,28,161,27,38,65,Red
369,28x386,28,386,43,41,84,Red
370,28x176,28,176,29,51,80,Red
371,28x40,28,40,20,6,26,Red
372,28x365,28,365,47,38,85,Red
